待ち牌のロス数,手牌,ロスの内訳
0,1234567,
0,2344567,
0,2345678,
0,3456678,
0,3456789,
1,1114567,1s1枚
1,3456999,9s1枚
4,1113456,9s4枚
4,1233456,9s4枚
4,2223456,9s4枚
4,2224567,1s4枚
4,2334456,9s4枚
4,2345567,9s4枚
4,3333456,9s4枚
4,3334567,1s4枚
4,3344556,9s4枚
4,3444456,9s4枚
4,3445566,9s4枚
4,3445567,1s4枚
4,3455556,9s4枚
4,3455667,9s4枚
4,3455678,1s4枚
4,3456666,9s4枚
4,3456777,9s4枚
4,3456888,9s4枚
4,4444567,1s4枚
4,4455667,1s4枚
4,4555567,1s4枚
4,4556677,1s4枚
4,4566667,1s4枚
4,4566778,1s4枚
4,4567777,1s4枚
4,4567789,1s4枚
4,4567888,1s4枚
4,4567999,1s4枚
5,1115678,1s1枚 2s4枚
5,2225678,1s4枚 2s1枚
5,2345888,8s1枚 9s4枚
5,2345999,8s4枚 9s1枚
6,1234678,7s3枚 8s3枚
6,1235678,1s3枚 2s3枚
6,2344678,7s3枚 8s3枚
6,2345677,2s3枚 3s3枚
6,2345789,8s3枚 9s3枚
6,2346678,2s3枚 3s3枚
6,2346789,2s3枚 3s3枚
6,3345678,7s3枚 8s3枚
7,1113457,1s1枚 3s3枚 4s3枚
7,1114678,1s1枚 7s3枚 8s3枚
7,2222346,3s3枚 9s4枚
7,2333346,2s3枚 9s4枚
7,2344566,2s3枚 9s4枚
7,2346999,2s3枚 3s3枚 9s1枚
7,3333457,1s4枚 4s3枚
7,3345567,7s3枚 9s4枚
7,3444457,1s4枚 3s3枚
7,3455677,1s4枚 3s3枚
7,3566667,7s3枚 9s4枚
7,3567777,6s3枚 9s4枚
7,3567999,6s3枚 7s3枚 9s1枚
7,4456678,1s4枚 8s3枚
7,4677778,1s4枚 8s3枚
7,4678888,1s4枚 7s3枚
8,1112345,8s4枚 9s4枚
8,1223345,8s4枚 9s4枚
8,1223346,2s2枚 3s2枚 9s4枚
8,1233457,1s3枚 3s2枚 4s3枚
8,1234456,8s4枚 9s4枚
8,2222345,8s4枚 9s4枚
8,2233445,8s4枚 9s4枚
8,2233446,2s2枚 3s2枚 9s4枚
8,2333345,8s4枚 9s4枚
8,2334455,8s4枚 9s4枚
8,2334457,1s4枚 3s2枚 4s2枚
8,2344445,8s4枚 9s4枚
8,2344456,8s4枚 9s4枚
8,2344556,8s4枚 9s4枚
8,2345555,8s4枚 9s4枚
8,2345666,8s4枚 9s4枚
8,2345777,8s4枚 9s4枚
8,3335678,1s4枚 2s4枚
8,3344557,1s4枚 3s2枚 4s2枚
8,3455567,1s4枚 9s4枚
8,3556677,6s2枚 7s2枚 9s4枚
8,3566778,6s2枚 7s2枚 9s4枚
8,3567789,6s3枚 7s2枚 9s3枚
8,4445678,1s4枚 2s4枚
8,4556678,1s4枚 2s4枚
8,4566678,1s4枚 2s4枚
8,4566789,1s4枚 2s4枚
8,4667788,1s4枚 7s2枚 8s2枚
8,4677889,1s4枚 7s2枚 8s2枚
8,5555678,1s4枚 2s4枚
8,5566778,1s4枚 2s4枚
8,5666678,1s4枚 2s4枚
8,5667788,1s4枚 2s4枚
8,5677778,1s4枚 2s4枚
8,5677889,1s4枚 2s4枚
8,5678888,1s4枚 2s4枚
8,5678999,1s4枚 2s4枚
9,1113455,1s1枚 8s4枚 9s4枚
9,1114456,1s1枚 8s4枚 9s4枚
9,1114566,1s1枚 2s4枚 9s4枚
9,1115567,1s1枚 2s4枚 9s4枚
9,1115677,1s1枚 2s4枚 3s4枚
9,1116678,1s1枚 2s4枚 3s4枚
9,1116789,1s1枚 2s4枚 3s4枚
9,1234777,7s1枚 8s4枚 9s4枚
9,1234789,7s3枚 8s3枚 9s3枚
9,1234888,7s4枚 8s1枚 9s4枚
9,1234999,7s4枚 8s4枚 9s1枚
9,1235677,1s3枚 2s3枚 3s3枚
9,1236678,1s3枚 2s3枚 3s3枚
9,1236789,1s3枚 2s3枚 3s3枚
9,2224566,1s4枚 2s1枚 9s4枚
9,2225567,1s4枚 2s1枚 9s4枚
9,2225677,1s4枚 2s1枚 3s4枚
9,2226678,1s4枚 2s1枚 3s4枚
9,2226789,1s4枚 2s1枚 3s4枚
9,2344777,7s1枚 8s4枚 9s4枚
9,2344789,7s3枚 8s3枚 9s3枚
9,2344888,7s4枚 8s1枚 9s4枚
9,2344999,7s4枚 8s4枚 9s1枚
9,3335677,1s4枚 2s4枚 3s1枚
9,3336678,1s4枚 2s4枚 3s1枚
9,3336789,1s4枚 2s4枚 3s1枚
9,3345777,7s1枚 8s4枚 9s4枚
9,3345789,7s3枚 8s3枚 9s3枚
9,3345888,7s4枚 8s1枚 9s4枚
9,3345999,7s4枚 8s4枚 9s1枚
9,3455888,1s4枚 8s1枚 9s4枚
9,3455999,1s4枚 8s4枚 9s1枚
9,4456888,1s4枚 8s1枚 9s4枚
9,4456999,1s4枚 8s4枚 9s1枚
9,4566999,1s4枚 2s4枚 9s1枚
9,5567999,1s4枚 2s4枚 9s1枚
10,1111236,2s3枚 3s3枚 9s4枚
10,1111237,2s3枚 3s3枚 4s4枚
10,1112225,1s1枚 2s1枚 8s4枚 9s4枚
10,1112226,1s1枚 2s1枚 3s4枚 9s4枚
10,1112227,1s1枚 2s1枚 3s4枚 4s4枚
10,1112346,2s3枚 3s3枚 9s4枚
10,1112347,1s1枚 2s3枚 3s3枚 4s3枚
10,1113336,1s1枚 2s4枚 3s1枚 9s4枚
10,1113337,1s1枚 2s4枚 3s1枚 4s4枚
10,1113567,6s3枚 7s3枚 9s4枚
10,1114447,1s1枚 2s4枚 3s4枚 4s1枚
10,1114777,1s1枚 7s1枚 8s4枚 9s4枚
10,1114789,1s1枚 7s3枚 8s3枚 9s3枚
10,1114888,1s1枚 7s4枚 8s1枚 9s4枚
10,1114999,1s1枚 7s4枚 8s4枚 9s1枚
10,1115888,1s1枚 2s4枚 8s1枚 9s4枚
10,1115999,1s1枚 2s4枚 8s4枚 9s1枚
10,1116999,1s1枚 2s4枚 3s4枚 9s1枚
10,1122336,1s2枚 2s2枚 3s2枚 9s4枚
10,1122337,1s2枚 2s2枚 3s2枚 4s4枚
10,1222236,1s3枚 3s3枚 9s4枚
10,1222237,1s3枚 3s3枚 4s4枚
10,1223347,1s3枚 2s2枚 3s2枚 4s3枚
10,1233336,1s3枚 2s3枚 9s4枚
10,1233337,1s3枚 2s3枚 4s4枚
10,1233567,6s3枚 7s3枚 9s4枚
10,1234447,1s3枚 2s3枚 3s3枚 4s1枚
10,1234566,1s3枚 2s3枚 9s4枚
10,1235567,1s3枚 2s3枚 9s4枚
10,1236999,1s3枚 2s3枚 3s3枚 9s1枚
10,2222347,1s4枚 3s3枚 4s3枚
10,2223336,1s4枚 2s1枚 3s1枚 9s4枚
10,2223337,1s4枚 2s1枚 3s1枚 4s4枚
10,2223457,1s4枚 3s3枚 4s3枚
10,2223567,6s3枚 7s3枚 9s4枚
10,2224447,1s4枚 2s1枚 3s4枚 4s1枚
10,2224678,1s4枚 7s3枚 8s3枚
10,2225888,1s4枚 2s1枚 8s1枚 9s4枚
10,2225999,1s4枚 2s1枚 8s4枚 9s1枚
10,2226999,1s4枚 2s1枚 3s4枚 9s1枚
10,2233447,1s4枚 2s2枚 3s2枚 4s2枚
10,2234567,6s3枚 7s3枚 9s4枚
10,2333347,1s4枚 2s3枚 4s3枚
10,2334567,6s3枚 7s3枚 9s4枚
10,2344446,2s3枚 3s3枚 9s4枚
10,2344447,1s4枚 2s3枚 3s3枚
10,2345556,2s3枚 3s3枚 9s4枚
10,2345667,2s3枚 3s3枚 9s4枚
10,2346666,2s3枚 3s3枚 9s4枚
10,2346777,2s3枚 3s3枚 9s4枚
10,2346888,2s3枚 3s3枚 9s4枚
10,3333567,6s3枚 7s3枚 9s4枚
10,3334447,1s4枚 2s4枚 3s1枚 4s1枚
10,3334678,1s4枚 7s3枚 8s3枚
10,3336999,1s4枚 2s4枚 3s1枚 9s1枚
10,3444567,6s3枚 7s3枚 9s4枚
10,3445678,1s4枚 7s3枚 8s3枚
10,3455557,1s4枚 3s3枚 4s3枚
10,3455789,1s4枚 8s3枚 9s3枚
10,3456667,1s4枚 3s3枚 4s3枚
10,3456778,1s4枚 3s3枚 4s3枚
10,3456788,1s4枚 3s3枚 4s3枚
10,3457777,1s4枚 3s3枚 4s3枚
10,3457789,1s4枚 3s3枚 4s3枚
10,3457888,1s4枚 3s3枚 4s3枚
10,3457999,1s4枚 3s3枚 4s3枚
10,3555567,6s3枚 7s3枚 9s4枚
10,3567888,6s3枚 7s3枚 9s4枚
10,3666678,7s3枚 8s3枚 9s4枚
10,3666777,6s1枚 7s1枚 8s4枚 9s4枚
10,3666789,6s1枚 7s3枚 8s3枚 9s3枚
10,3666888,6s1枚 7s4枚 8s1枚 9s4枚
10,3666999,6s1枚 7s4枚 8s4枚 9s1枚
10,3667788,6s2枚 7s2枚 8s2枚 9s4枚
10,3677778,6s3枚 8s3枚 9s4枚
10,3677889,6s3枚 7s2枚 8s2枚 9s3枚
10,3678888,6s3枚 7s3枚 9s4枚
10,3678999,6s3枚 7s3枚 8s3枚 9s1枚
10,3777789,6s4枚 8s3枚 9s3枚
10,3777888,6s4枚 7s1枚 8s1枚 9s4枚
10,3777999,6s4枚 7s1枚 8s4枚 9s1枚
10,3778899,6s4枚 7s2枚 8s2枚 9s2枚
10,3788889,6s4枚 7s3枚 9s3枚
10,3789999,6s4枚 7s3枚 8s3枚
10,3888999,6s4枚 7s4枚 8s1枚 9s1枚
10,4444678,1s4枚 7s3枚 8s3枚
10,4456789,1s4枚 8s3枚 9s3枚
10,4555678,1s4枚 7s3枚 8s3枚
10,4666678,1s4枚 7s3枚 8s3枚
10,4678999,1s4枚 7s3枚 8s3枚
10,4777789,1s4枚 8s3枚 9s3枚
10,4777888,1s4枚 7s1枚 8s1枚 9s4枚
10,4777999,1s4枚 7s1枚 8s4枚 9s1枚
10,4778899,1s4枚 7s2枚 8s2枚 9s2枚
10,4788889,1s4枚 7s3枚 9s3枚
10,4789999,1s4枚 7s3枚 8s3枚
10,4888999,1s4枚 7s4枚 8s1枚 9s1枚
10,5888999,1s4枚 2s4枚 8s1枚 9s1枚
11,1111235,2s3枚 8s4枚 9s4枚
11,1114568,1s1枚 2s4枚 4s3枚 5s3枚
11,1115789,1s1枚 2s4枚 8s3枚 9s3枚
11,1222235,1s3枚 8s4枚 9s4枚
11,1233455,1s3枚 8s4枚 9s4枚
11,1235888,1s3枚 2s3枚 8s1枚 9s4枚
11,1235999,1s3枚 2s3枚 8s4枚 9s1枚
11,2224568,1s4枚 2s1枚 4s3枚 5s3枚
11,2225789,1s4枚 2s1枚 8s3枚 9s3枚
11,2234456,6s3枚 8s4枚 9s4枚
11,2455556,6s3枚 8s4枚 9s4枚
11,2456666,5s3枚 8s4枚 9s4枚
11,2456888,5s3枚 6s3枚 8s1枚 9s4枚
11,2456999,5s3枚 6s3枚 8s4枚 9s1枚
11,4444568,1s4枚 2s4枚 5s3枚
11,4555568,1s4枚 2s4枚 4s3枚
11,4566788,1s4枚 2s4枚 4s3枚
11,5567789,1s4枚 2s4枚 9s3枚
11,5788889,1s4枚 2s4枚 9s3枚
11,5789999,1s4枚 2s4枚 8s3枚
12,1111234,7s4枚 8s4枚 9s4枚
12,1112344,7s4枚 8s4枚 9s4枚
12,1113345,7s4枚 8s4枚 9s4枚
12,1122334,7s4枚 8s4枚 9s4枚
12,1122335,1s2枚 2s2枚 8s4枚 9s4枚
12,1222234,7s4枚 8s4枚 9s4枚
12,1223344,7s4枚 8s4枚 9s4枚
12,1233334,7s4枚 8s4枚 9s4枚
12,1233345,7s4枚 8s4枚 9s4枚
12,1233445,7s4枚 8s4枚 9s4枚
12,1234444,7s4枚 8s4枚 9s4枚
12,1234555,7s4枚 8s4枚 9s4枚
12,1234568,1s3枚 2s3枚 4s3枚 5s3枚
12,1234666,7s4枚 8s4枚 9s4枚
12,1235789,1s3枚 2s3枚 8s3枚 9s3枚
12,1345678,4s3枚 5s3枚 7s3枚 8s3枚
12,2222344,7s4枚 8s4枚 9s4枚
12,2223334,7s4枚 8s4枚 9s4枚
12,2223345,7s4枚 8s4枚 9s4枚
12,2223455,1s4枚 8s4枚 9s4枚
12,2224456,1s4枚 8s4枚 9s4枚
12,2233444,7s4枚 8s4枚 9s4枚
12,2333344,7s4枚 8s4枚 9s4枚
12,2333445,7s4枚 8s4枚 9s4枚
12,2334445,7s4枚 8s4枚 9s4枚
12,2344555,7s4枚 8s4枚 9s4枚
12,2344568,1s4枚 2s3枚 4s2枚 5s3枚
12,2344666,7s4枚 8s4枚 9s4枚
12,2345679,2s3枚 3s3枚 5s3枚 6s3枚
12,2445566,5s2枚 6s2枚 8s4枚 9s4枚
12,2455667,5s2枚 6s2枚 8s4枚 9s4枚
12,2456678,5s3枚 6s2枚 8s3枚 9s4枚
12,2456789,5s3枚 6s3枚 8s3枚 9s3枚
12,3333455,1s4枚 8s4枚 9s4枚
12,3334445,1s4枚 8s4枚 9s4枚
12,3334455,7s4枚 8s4枚 9s4枚
12,3334456,1s4枚 8s4枚 9s4枚
12,3334566,1s4枚 2s4枚 9s4枚
12,3335567,1s4枚 2s4枚 9s4枚
12,3344445,7s4枚 8s4枚 9s4枚
12,3344555,1s4枚 8s4枚 9s4枚
12,3345555,7s4枚 8s4枚 9s4枚
12,3345666,7s4枚 8s4枚 9s4枚
12,3444455,1s4枚 8s4枚 9s4枚
12,3444555,7s4枚 8s4枚 9s4枚
12,3444556,1s4枚 8s4枚 9s4枚
12,3445556,1s4枚 8s4枚 9s4枚
12,3445568,1s4枚 2s4枚 4s2枚 5s2枚
12,3455666,1s4枚 8s4枚 9s4枚
12,3455777,1s4枚 8s4枚 9s4枚
12,4444566,1s4枚 2s4枚 9s4枚
12,4445556,1s4枚 2s4枚 9s4枚
12,4445566,1s4枚 8s4枚 9s4枚
12,4445567,1s4枚 2s4枚 9s4枚
12,4445677,1s4枚 2s4枚 3s4枚
12,4446678,1s4枚 2s4枚 3s4枚
12,4446789,1s4枚 2s4枚 3s4枚
12,4455556,1s4枚 8s4枚 9s4枚
12,4455666,1s4枚 2s4枚 9s4枚
12,4455668,1s4枚 2s4枚 4s2枚 5s2枚
12,4456666,1s4枚 8s4枚 9s4枚
12,4456777,1s4枚 8s4枚 9s4枚
12,4555566,1s4枚 2s4枚 9s4枚
12,4555666,1s4枚 8s4枚 9s4枚
12,4555667,1s4枚 2s4枚 9s4枚
12,4556667,1s4枚 2s4枚 9s4枚
12,4566777,1s4枚 2s4枚 9s4枚
12,4566888,1s4枚 2s4枚 9s4枚
12,5555677,1s4枚 2s4枚 3s4枚
12,5556667,1s4枚 2s4枚 3s4枚
12,5556677,1s4枚 2s4枚 9s4枚
12,5556678,1s4枚 2s4枚 3s4枚
12,5556789,1s4枚 2s4枚 3s4枚
12,5566667,1s4枚 2s4枚 9s4枚
12,5566777,1s4枚 2s4枚 3s4枚
12,5567777,1s4枚 2s4枚 9s4枚
12,5567888,1s4枚 2s4枚 9s4枚
12,5666677,1s4枚 2s4枚 3s4枚
12,5666777,1s4枚 2s4枚 9s4枚
12,5666778,1s4枚 2s4枚 3s4枚
12,5667778,1s4枚 2s4枚 3s4枚
12,5667789,1s4枚 2s4枚 3s4枚
12,5677789,1s4枚 2s4枚 3s4枚
12,5677888,1s4枚 2s4枚 3s4枚
12,5677999,1s4枚 2s4枚 3s4枚
12,5778899,1s4枚 2s4枚 8s2枚 9s2枚
12,6666789,1s4枚 2s4枚 3s4枚
12,6667788,1s4枚 2s4枚 3s4枚
12,6677778,1s4枚 2s4枚 3s4枚
12,6677889,1s4枚 2s4枚 3s4枚
12,6678888,1s4枚 2s4枚 3s4枚
12,6678999,1s4枚 2s4枚 3s4枚
12,6777789,1s4枚 2s4枚 3s4枚
12,6777888,1s4枚 2s4枚 3s4枚
12,6778899,1s4枚 2s4枚 3s4枚
12,6788889,1s4枚 2s4枚 3s4枚
12,6789999,1s4枚 2s4枚 3s4枚
