待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
11,23456,4,0,0,3,0,0,4,0,0
11,34567,0,4,0,0,3,0,0,4,0
11,45678,0,0,4,0,0,3,0,0,4
8,11134,0,4,0,0,4,0,0,0,0
8,11145,0,0,4,0,0,4,0,0,0
8,11156,0,0,0,4,0,0,4,0,0
8,11167,0,0,0,0,4,0,0,4,0
8,11178,0,0,0,0,0,4,0,0,4
8,12356,0,0,0,4,0,0,4,0,0
8,12367,0,0,0,0,4,0,0,4,0
8,12378,0,0,0,0,0,4,0,0,4
8,22223,4,0,0,4,0,0,0,0,0
8,22245,0,0,4,0,0,4,0,0,0
8,22256,0,0,0,4,0,0,4,0,0
8,22267,0,0,0,0,4,0,0,4,0
8,22278,0,0,0,0,0,4,0,0,4
8,23333,4,0,0,4,0,0,0,0,0
8,23467,0,0,0,0,4,0,0,4,0
8,23478,0,0,0,0,0,4,0,0,4
8,23555,4,0,0,4,0,0,0,0,0
8,23567,4,0,0,4,0,0,0,0,0
8,23666,4,0,0,4,0,0,0,0,0
8,23678,4,0,0,4,0,0,0,0,0
8,23777,4,0,0,4,0,0,0,0,0
8,23789,4,0,0,4,0,0,0,0,0
8,23888,4,0,0,4,0,0,0,0,0
8,23999,4,0,0,4,0,0,0,0,0
8,33334,0,4,0,0,4,0,0,0,0
8,33356,0,0,0,4,0,0,4,0,0
8,33367,0,0,0,0,4,0,0,4,0
8,33378,0,0,0,0,0,4,0,0,4
8,34444,0,4,0,0,4,0,0,0,0
8,34578,0,0,0,0,0,4,0,0,4
8,34666,0,4,0,0,4,0,0,0,0
8,34678,0,4,0,0,4,0,0,0,0
8,34777,0,4,0,0,4,0,0,0,0
8,34789,0,4,0,0,4,0,0,0,0
8,34888,0,4,0,0,4,0,0,0,0
8,34999,0,4,0,0,4,0,0,0,0
8,44445,0,0,4,0,0,4,0,0,0
8,44467,0,0,0,0,4,0,0,4,0
8,44478,0,0,0,0,0,4,0,0,4
8,45555,0,0,4,0,0,4,0,0,0
8,45777,0,0,4,0,0,4,0,0,0
8,45789,0,0,4,0,0,4,0,0,0
8,45888,0,0,4,0,0,4,0,0,0
8,45999,0,0,4,0,0,4,0,0,0
8,55556,0,0,0,4,0,0,4,0,0
8,55578,0,0,0,0,0,4,0,0,4
8,56666,0,0,0,4,0,0,4,0,0
8,56888,0,0,0,4,0,0,4,0,0
8,56999,0,0,0,4,0,0,4,0,0
8,66667,0,0,0,0,4,0,0,4,0
8,67777,0,0,0,0,4,0,0,4,0
8,67999,0,0,0,0,4,0,0,4,0
8,77778,0,0,0,0,0,4,0,0,4
8,78888,0,0,0,0,0,4,0,0,4
7,12233,3,0,0,4,0,0,0,0,0
7,12334,0,3,0,0,4,0,0,0,0
7,12345,0,0,3,0,0,4,0,0,0
7,22334,4,0,0,3,0,0,0,0,0
7,23344,0,3,0,0,4,0,0,0,0
7,23345,4,0,0,3,0,0,0,0,0
7,23445,0,0,3,0,0,4,0,0,0
7,33445,0,4,0,0,3,0,0,0,0
7,34455,0,0,3,0,0,4,0,0,0
7,34456,0,4,0,0,3,0,0,0,0
7,34556,0,0,0,3,0,0,4,0,0
7,44556,0,0,4,0,0,3,0,0,0
7,45566,0,0,0,3,0,0,4,0,0
7,45567,0,0,4,0,0,3,0,0,0
7,45667,0,0,0,0,3,0,0,4,0
7,55667,0,0,0,4,0,0,3,0,0
7,56677,0,0,0,0,3,0,0,4,0
7,56678,0,0,0,4,0,0,3,0,0
7,56778,0,0,0,0,0,3,0,0,4
7,56789,0,0,0,4,0,0,3,0,0
7,66778,0,0,0,0,4,0,0,3,0
7,67788,0,0,0,0,0,3,0,0,4
7,67789,0,0,0,0,4,0,0,3,0
7,77889,0,0,0,0,0,4,0,0,3
5,11123,1,0,0,4,0,0,0,0,0
5,22234,0,1,0,0,4,0,0,0,0
5,23444,4,0,0,1,0,0,0,0,0
5,33345,0,0,1,0,0,4,0,0,0
5,34555,0,4,0,0,1,0,0,0,0
5,44456,0,0,0,1,0,0,4,0,0
5,45666,0,0,4,0,0,1,0,0,0
5,55567,0,0,0,0,1,0,0,4,0
5,56777,0,0,0,4,0,0,1,0,0
5,66678,0,0,0,0,0,1,0,0,4
5,67888,0,0,0,0,4,0,0,1,0
5,78999,0,0,0,0,0,4,0,0,1
4,11112,0,0,4,0,0,0,0,0,0
4,11113,0,4,0,0,0,0,0,0,0
4,11124,0,0,4,0,0,0,0,0,0
4,11135,0,0,0,4,0,0,0,0,0
4,11146,0,0,0,0,4,0,0,0,0
4,11157,0,0,0,0,0,4,0,0,0
4,11168,0,0,0,0,0,0,4,0,0
4,11179,0,0,0,0,0,0,0,4,0
4,11189,0,0,0,0,0,0,4,0,0
4,12222,0,0,4,0,0,0,0,0,0
4,12335,0,0,0,4,0,0,0,0,0
4,12346,0,0,0,0,4,0,0,0,0
4,12357,0,0,0,0,0,4,0,0,0
4,12368,0,0,0,0,0,0,4,0,0
4,12379,0,0,0,0,0,0,0,4,0
4,12389,0,0,0,0,0,0,4,0,0
4,12444,0,0,4,0,0,0,0,0,0
4,12456,0,0,4,0,0,0,0,0,0
4,12555,0,0,4,0,0,0,0,0,0
4,12567,0,0,4,0,0,0,0,0,0
4,12666,0,0,4,0,0,0,0,0,0
4,12678,0,0,4,0,0,0,0,0,0
4,12777,0,0,4,0,0,0,0,0,0
4,12789,0,0,4,0,0,0,0,0,0
4,12888,0,0,4,0,0,0,0,0,0
4,12999,0,0,4,0,0,0,0,0,0
4,13333,0,4,0,0,0,0,0,0,0
4,13345,0,4,0,0,0,0,0,0,0
4,13444,0,4,0,0,0,0,0,0,0
4,13456,0,4,0,0,0,0,0,0,0
4,13555,0,4,0,0,0,0,0,0,0
4,13567,0,4,0,0,0,0,0,0,0
4,13666,0,4,0,0,0,0,0,0,0
4,13678,0,4,0,0,0,0,0,0,0
4,13777,0,4,0,0,0,0,0,0,0
4,13789,0,4,0,0,0,0,0,0,0
4,13888,0,4,0,0,0,0,0,0,0
4,13999,0,4,0,0,0,0,0,0,0
4,22224,0,0,4,0,0,0,0,0,0
4,22235,0,0,0,4,0,0,0,0,0
4,22246,0,0,0,0,4,0,0,0,0
4,22257,0,0,0,0,0,4,0,0,0
4,22268,0,0,0,0,0,0,4,0,0
4,22279,0,0,0,0,0,0,0,4,0
4,22289,0,0,0,0,0,0,4,0,0
4,23446,0,0,0,0,4,0,0,0,0
4,23457,0,0,0,0,0,4,0,0,0
4,23468,0,0,0,0,0,0,4,0,0
4,23479,0,0,0,0,0,0,0,4,0
4,23489,0,0,0,0,0,0,4,0,0
4,24444,0,0,4,0,0,0,0,0,0
4,24456,0,0,4,0,0,0,0,0,0
4,24555,0,0,4,0,0,0,0,0,0
4,24567,0,0,4,0,0,0,0,0,0
4,24666,0,0,4,0,0,0,0,0,0
4,24678,0,0,4,0,0,0,0,0,0
4,24777,0,0,4,0,0,0,0,0,0
4,24789,0,0,4,0,0,0,0,0,0
4,24888,0,0,4,0,0,0,0,0,0
4,24999,0,0,4,0,0,0,0,0,0
4,33335,0,0,0,4,0,0,0,0,0
4,33346,0,0,0,0,4,0,0,0,0
4,33357,0,0,0,0,0,4,0,0,0
4,33368,0,0,0,0,0,0,4,0,0
4,33379,0,0,0,0,0,0,0,4,0
4,33389,0,0,0,0,0,0,4,0,0
4,34557,0,0,0,0,0,4,0,0,0
4,34568,0,0,0,0,0,0,4,0,0
4,34579,0,0,0,0,0,0,0,4,0
4,34589,0,0,0,0,0,0,4,0,0
4,35555,0,0,0,4,0,0,0,0,0
4,35567,0,0,0,4,0,0,0,0,0
4,35666,0,0,0,4,0,0,0,0,0
4,35678,0,0,0,4,0,0,0,0,0
4,35777,0,0,0,4,0,0,0,0,0
4,35789,0,0,0,4,0,0,0,0,0
4,35888,0,0,0,4,0,0,0,0,0
4,35999,0,0,0,4,0,0,0,0,0
4,44446,0,0,0,0,4,0,0,0,0
4,44457,0,0,0,0,0,4,0,0,0
4,44468,0,0,0,0,0,0,4,0,0
4,44479,0,0,0,0,0,0,0,4,0
4,44489,0,0,0,0,0,0,4,0,0
4,45668,0,0,0,0,0,0,4,0,0
4,45679,0,0,0,0,0,0,0,4,0
4,45689,0,0,0,0,0,0,4,0,0
4,46666,0,0,0,0,4,0,0,0,0
4,46678,0,0,0,0,4,0,0,0,0
4,46777,0,0,0,0,4,0,0,0,0
4,46789,0,0,0,0,4,0,0,0,0
4,46888,0,0,0,0,4,0,0,0,0
4,46999,0,0,0,0,4,0,0,0,0
4,55557,0,0,0,0,0,4,0,0,0
4,55568,0,0,0,0,0,0,4,0,0
4,55579,0,0,0,0,0,0,0,4,0
4,55589,0,0,0,0,0,0,4,0,0
4,56779,0,0,0,0,0,0,0,4,0
4,57777,0,0,0,0,0,4,0,0,0
4,57789,0,0,0,0,0,4,0,0,0
4,57888,0,0,0,0,0,4,0,0,0
4,57999,0,0,0,0,0,4,0,0,0
4,66668,0,0,0,0,0,0,4,0,0
4,66679,0,0,0,0,0,0,0,4,0
4,66689,0,0,0,0,0,0,4,0,0
4,68888,0,0,0,0,0,0,4,0,0
4,68999,0,0,0,0,0,0,4,0,0
4,77779,0,0,0,0,0,0,0,4,0
4,79999,0,0,0,0,0,0,0,4,0
4,88889,0,0,0,0,0,0,4,0,0
4,89999,0,0,0,0,0,0,4,0,0
3,11223,0,0,3,0,0,0,0,0,0
3,11233,0,3,0,0,0,0,0,0,0
3,12234,0,0,3,0,0,0,0,0,0
3,22344,0,0,3,0,0,0,0,0,0
3,33455,0,0,0,3,0,0,0,0,0
3,44566,0,0,0,0,3,0,0,0,0
3,55677,0,0,0,0,0,3,0,0,0
3,66788,0,0,0,0,0,0,3,0,0
3,67889,0,0,0,0,0,0,3,0,0
3,77899,0,0,0,0,0,0,0,3,0
3,78899,0,0,0,0,0,0,3,0,0
2,11122,0,2,0,0,0,0,0,0,0
2,11133,0,0,2,0,0,0,0,0,0
2,11144,0,0,0,2,0,0,0,0,0
2,11155,0,0,0,0,2,0,0,0,0
2,11166,0,0,0,0,0,2,0,0,0
2,11177,0,0,0,0,0,0,2,0,0
2,11188,0,0,0,0,0,0,0,2,0
2,11199,0,0,0,0,0,0,0,0,2
2,11222,2,0,0,0,0,0,0,0,0
2,11234,2,0,0,0,0,0,0,0,0
2,11333,2,0,0,0,0,0,0,0,0
2,11345,2,0,0,0,0,0,0,0,0
2,11444,2,0,0,0,0,0,0,0,0
2,11456,2,0,0,0,0,0,0,0,0
2,11555,2,0,0,0,0,0,0,0,0
2,11567,2,0,0,0,0,0,0,0,0
2,11666,2,0,0,0,0,0,0,0,0
2,11678,2,0,0,0,0,0,0,0,0
2,11777,2,0,0,0,0,0,0,0,0
2,11789,2,0,0,0,0,0,0,0,0
2,11888,2,0,0,0,0,0,0,0,0
2,11999,2,0,0,0,0,0,0,0,0
2,12344,0,0,0,2,0,0,0,0,0
2,12355,0,0,0,0,2,0,0,0,0
2,12366,0,0,0,0,0,2,0,0,0
2,12377,0,0,0,0,0,0,2,0,0
2,12388,0,0,0,0,0,0,0,2,0
2,12399,0,0,0,0,0,0,0,0,2
2,22233,0,0,2,0,0,0,0,0,0
2,22244,0,0,0,2,0,0,0,0,0
2,22255,0,0,0,0,2,0,0,0,0
2,22266,0,0,0,0,0,2,0,0,0
2,22277,0,0,0,0,0,0,2,0,0
2,22288,0,0,0,0,0,0,0,2,0
2,22299,0,0,0,0,0,0,0,0,2
2,22333,0,2,0,0,0,0,0,0,0
2,22345,0,2,0,0,0,0,0,0,0
2,22444,0,2,0,0,0,0,0,0,0
2,22456,0,2,0,0,0,0,0,0,0
2,22555,0,2,0,0,0,0,0,0,0
2,22567,0,2,0,0,0,0,0,0,0
2,22666,0,2,0,0,0,0,0,0,0
2,22678,0,2,0,0,0,0,0,0,0
2,22777,0,2,0,0,0,0,0,0,0
2,22789,0,2,0,0,0,0,0,0,0
2,22888,0,2,0,0,0,0,0,0,0
2,22999,0,2,0,0,0,0,0,0,0
2,23455,0,0,0,0,2,0,0,0,0
2,23466,0,0,0,0,0,2,0,0,0
2,23477,0,0,0,0,0,0,2,0,0
2,23488,0,0,0,0,0,0,0,2,0
2,23499,0,0,0,0,0,0,0,0,2
2,33344,0,0,0,2,0,0,0,0,0
2,33355,0,0,0,0,2,0,0,0,0
2,33366,0,0,0,0,0,2,0,0,0
2,33377,0,0,0,0,0,0,2,0,0
2,33388,0,0,0,0,0,0,0,2,0
2,33399,0,0,0,0,0,0,0,0,2
2,33444,0,0,2,0,0,0,0,0,0
2,33456,0,0,2,0,0,0,0,0,0
2,33555,0,0,2,0,0,0,0,0,0
2,33567,0,0,2,0,0,0,0,0,0
2,33666,0,0,2,0,0,0,0,0,0
2,33678,0,0,2,0,0,0,0,0,0
2,33777,0,0,2,0,0,0,0,0,0
2,33789,0,0,2,0,0,0,0,0,0
2,33888,0,0,2,0,0,0,0,0,0
2,33999,0,0,2,0,0,0,0,0,0
2,34566,0,0,0,0,0,2,0,0,0
2,34577,0,0,0,0,0,0,2,0,0
2,34588,0,0,0,0,0,0,0,2,0
2,34599,0,0,0,0,0,0,0,0,2
2,44455,0,0,0,0,2,0,0,0,0
2,44466,0,0,0,0,0,2,0,0,0
2,44477,0,0,0,0,0,0,2,0,0
2,44488,0,0,0,0,0,0,0,2,0
2,44499,0,0,0,0,0,0,0,0,2
2,44555,0,0,0,2,0,0,0,0,0
2,44567,0,0,0,2,0,0,0,0,0
2,44666,0,0,0,2,0,0,0,0,0
2,44678,0,0,0,2,0,0,0,0,0
2,44777,0,0,0,2,0,0,0,0,0
2,44789,0,0,0,2,0,0,0,0,0
2,44888,0,0,0,2,0,0,0,0,0
2,44999,0,0,0,2,0,0,0,0,0
2,45677,0,0,0,0,0,0,2,0,0
2,45688,0,0,0,0,0,0,0,2,0
2,45699,0,0,0,0,0,0,0,0,2
2,55566,0,0,0,0,0,2,0,0,0
2,55577,0,0,0,0,0,0,2,0,0
2,55588,0,0,0,0,0,0,0,2,0
2,55599,0,0,0,0,0,0,0,0,2
2,55666,0,0,0,0,2,0,0,0,0
2,55678,0,0,0,0,2,0,0,0,0
2,55777,0,0,0,0,2,0,0,0,0
2,55789,0,0,0,0,2,0,0,0,0
2,55888,0,0,0,0,2,0,0,0,0
2,55999,0,0,0,0,2,0,0,0,0
2,56788,0,0,0,0,0,0,0,2,0
2,56799,0,0,0,0,0,0,0,0,2
2,66677,0,0,0,0,0,0,2,0,0
2,66688,0,0,0,0,0,0,0,2,0
2,66699,0,0,0,0,0,0,0,0,2
2,66777,0,0,0,0,0,2,0,0,0
2,66789,0,0,0,0,0,2,0,0,0
2,66888,0,0,0,0,0,2,0,0,0
2,66999,0,0,0,0,0,2,0,0,0
2,67899,0,0,0,0,0,0,0,0,2
2,77788,0,0,0,0,0,0,0,2,0
2,77799,0,0,0,0,0,0,0,0,2
2,77888,0,0,0,0,0,0,2,0,0
2,77999,0,0,0,0,0,0,2,0,0
2,88899,0,0,0,0,0,0,0,0,2
2,88999,0,0,0,0,0,0,0,2,0
1,12223,0,1,0,0,0,0,0,0,0
1,12333,0,0,1,0,0,0,0,0,0
1,23334,0,0,1,0,0,0,0,0,0
1,34445,0,0,0,1,0,0,0,0,0
1,45556,0,0,0,0,1,0,0,0,0
1,56667,0,0,0,0,0,1,0,0,0
1,67778,0,0,0,0,0,0,1,0,0
1,77789,0,0,0,0,0,0,1,0,0
1,78889,0,0,0,0,0,0,0,1,0
